'BINLOW','BINUP','BINCENTER','aS=0.111','aS=0.112','aS=0.113','aS=0.114','aS=0.115','aS=0.116','aS=0.117','aS=0.118','aS=0.119','aS=0.12','aS=0.121','aS=0.122','aS=0.123'
5,1,13,0.111,0.112,0.113,0.114,0.115,0.116,0.117,0.118,0.119,0.12,0.121,0.122,0.123
300.0,450.0,375.0,0.0104688209064,0.0106314348656,0.0107962234905,0.0109627598473,0.0111303537915,0.0112990171398,0.0114690601978,0.011640725999,0.0118141231623,0.011989344233,0.0121662703389,0.012344881628,0.0125250969618
450.0,600.0,525.0,0.00408320758195,0.00414057460402,0.00419889424528,0.00425796660346,0.00431748401103,0.00437750833777,0.00443825886593,0.00449992459009,0.00456264484476,0.00462655243737,0.00469172353717,0.00475833419993,0.00482672707742
600.0,800.0,700.0,0.00128735422269,0.00130362860372,0.00132023427901,0.00133709004544,0.00135409486039,0.00137127888481,0.00138873988343,0.00140655870996,0.00142481102536,0.00144356686431,0.00146288802915,0.00148289221057,0.00150380683935
800.0,1100.0,950.0,0.000277800490867,0.000280807984637,0.000283893938466,0.000287036572408,0.000290212166459,0.000293429410317,0.00029671532138,0.00030009313955,0.000303584705494,0.000307211664088,0.000310995911317,0.000314977211953,0.000319233340622
1100.0,1500.0,1300.0,4.93310970343e-05,4.97818236208e-05,5.02480235727e-05,5.07243313872e-05,5.12049517219e-05,5.1691688533e-05,5.21903924079e-05,5.27063855252e-05,5.32445614494e-05,5.38101769564e-05,5.44088456654e-05,5.50500150537e-05,5.5752958268e-05
