'BINLOW','BINUP','BINCENTER','aS=0.111','aS=0.112','aS=0.113','aS=0.114','aS=0.115','aS=0.116','aS=0.117','aS=0.118','aS=0.119','aS=0.12','aS=0.121','aS=0.122','aS=0.123'
5,1,13,0.111,0.112,0.113,0.114,0.115,0.116,0.117,0.118,0.119,0.12,0.121,0.122,0.123
300.0,450.0,375.0,0.0541611260505,0.0548191248357,0.0554789963505,0.0561407162899,0.056804260543,0.0574696051915,0.0581367265085,0.0588056009567,0.0594762051874,0.0601485160389,0.0608225105351,0.0614981658843,0.062175459478
450.0,600.0,525.0,0.017737950589,0.0179332634604,0.018128869976,0.0183247635437,0.0185209376391,0.0187173858057,0.0189141016534,0.0191110788582,0.0193083111617,0.0195057923704,0.0197035163549,0.0199014770496,0.0200996684519
600.0,800.0,700.0,0.00419090362,0.00423632309141,0.00428179151309,0.00432730728643,0.00437286883224,0.0044184745906,0.00446412302056,0.0045098126,0.00455554182539,0.00460130921156,0.00464711329156,0.00469295261636,0.00473882575476
800.0,1100.0,950.0,0.000806118485082,0.000814690369851,0.000823267595144,0.00083184985438,0.000840436845318,0.000849028269998,0.000857623834688,0.000866223249825,0.000874826229967,0.000883432493737,0.000892041763769,0.000900653766659,0.000909268232912
1100.0,1500.0,1300.0,0.00012329198844,0.00012457385761,0.000125855904186,0.000127138082853,0.000128420349037,0.000129702658896,0.000130984969308,0.000132267237861,0.000133549422841,0.000134831483224,0.000136113378664,0.000137395069484,0.000138676516666
