'BINLOW','BINUP','BINCENTER','aS=0.108','aS=0.109','aS=0.11','aS=0.111','aS=0.112','aS=0.113','aS=0.114','aS=0.115','aS=0.116','aS=0.117','aS=0.118','aS=0.119','aS=0.12','aS=0.121','aS=0.122','aS=0.123','aS=0.124','aS=0.125','aS=0.126','aS=0.127','aS=0.128','aS=0.129','aS=0.13'
8,1,23,0.108,0.109,0.11,0.111,0.112,0.113,0.114,0.115,0.116,0.117,0.118,0.119,0.12,0.121,0.122,0.123,0.124,0.125,0.126,0.127,0.128,0.129,0.13
200.0,250.0,225.0,0.154067882766,0.156931273576,0.159819291405,0.16273185587,0.165668885802,0.168630299259,0.171616013542,0.174625945207,0.177660010082,0.180718123279,0.183800199211,0.186906151601,0.190035893501,0.193189337302,0.196366394747,0.199566976949,0.202790994399,0.20603835698,0.209308973982,0.212602754114,0.215919605514,0.219259435764,0.222622151905
250.0,315.0,282.5,0.0900307451514,0.0916647439015,0.0933118010438,0.0949718572193,0.0966448527839,0.0983307278174,0.100029422132,0.10174087528,0.103465026565,0.105201815044,0.106951179545,0.108713058664,0.110487390782,0.112274114068,0.114073166488,0.115884485812,0.117708009622,0.119543675321,0.121391420137,0.12325118113,0.125122895203,0.127006499108,0.128901929447
315.0,400.0,357.5,0.0413031695902,0.0420425510899,0.0427875608138,0.0435381679288,0.0442943415261,0.0450560506248,0.0458232641764,0.0465959510685,0.0473740801287,0.0481576201285,0.0489465397873,0.0497408077757,0.0505403927195,0.051345263203,0.0521553877728,0.052970734941,0.0537912731888,0.0546169709697,0.0554477967128,0.0562837188262,0.0571247056999,0.057970725709,0.0588217472168
400.0,500.0,450.0,0.016703390352,0.0169974312636,0.0172935800166,0.0175918226914,0.0178921453636,0.0181945341056,0.0184989749886,0.0188054540835,0.0191139574629,0.0194244712024,0.0197369813819,0.0200514740873,0.0203679354117,0.0206863514567,0.0210067083339,0.0213289921662,0.0216531890888,0.0219792852507,0.0223072668158,0.022637119964,0.0229688308927,0.0233023858174,0.0236377709734
500.0,625.0,562.5,0.00616701501447,0.00627245900183,0.00637858273048,0.00648538040217,0.00659284623219,0.0067009744499,0.00680975929912,0.00691919503865,0.00702927594264,0.00713999630105,0.00725135042004,0.00736333262243,0.00747593724803,0.00758915865402,0.00770299121536,0.0078174293251,0.00793246739473,0.00804809985452,0.00816432115385,0.00828112576152,0.00839850816603,0.00851646287589,0.0086349844199
625.0,800.0,712.5,0.00205577458179,0.00209062473571,0.00212569056064,0.00216097002201,0.00219646109189,0.00223216174921,0.00226806997988,0.0023041837769,0.00234050114056,0.00237702007852,0.00241373860599,0.00245065474581,0.00248776652859,0.00252507199281,0.00256256918497,0.00260025615965,0.00263813097965,0.00267619171606,0.00271443644837,0.00275286326456,0.00279147026118,0.00283025554346,0.00286921722535
800.0,1050.0,925.0,0.00056334988426,0.00057273484444,0.000582173609899,0.00059166559,0.000601210196921,0.000610806845685,0.000620454954194,0.000630153943259,0.000639903236629,0.000649702261019,0.000659550446133,0.000669447224696,0.000679392032467,0.000689384308272,0.000699423494018,0.000709509034716,0.000719640378497,0.000729816976633,0.000740038283551,0.000750303756853,0.000760612857317,0.000770965048926,0.000781359798868
1050.0,1400.0,1225.0,0.000108216127379,0.000110004495823,0.000111802654852,0.000113610486013,0.000115427871519,0.000117254694251,0.000119090837765,0.000120936186297,0.000122790624766,0.000124654038785,0.000126526314656,0.000128407339382,0.000130297000665,0.000132195186912,0.000134101787239,0.000136016691473,0.000137939790152,0.000139870974533,0.000141810136587,0.000143757169007,0.000145711965208,0.000147674419325,0.000149644426222
