'BINLOW','BINUP','BINCENTER','aS=0.115','aS=0.117','aS=0.118','aS=0.119','aS=0.121'
8,1,5,0.115,0.117,0.118,0.119,0.121
200.0,250.0,225.0,0.565209194966,0.574310363055,0.580719347741,0.584579321961,0.5940888729
250.0,315.0,282.5,0.269624154726,0.273942631198,0.276915794229,0.278769191682,0.283332217402
315.0,400.0,357.5,0.101484430082,0.103042003016,0.104104560953,0.1047823994,0.106459946704
400.0,500.0,450.0,0.035850275995,0.0363699969467,0.0367261318842,0.0369544876517,0.0375302841501
500.0,625.0,562.5,0.0123180720079,0.0124878414191,0.0126048909458,0.0126804060337,0.0128761652624
625.0,800.0,712.5,0.00377875381524,0.0038268031102,0.00386119769175,0.0038828365887,0.0039421962584
800.0,1050.0,925.0,0.000927491590235,0.000938445009359,0.000946551046311,0.000951669471111,0.000966339224058
1050.0,1400.0,1225.0,0.000181277231113,0.000183187904952,0.000184836349033,0.000185764525511,0.000188729019296
