'XERRLOW','XERRUP','YERRLOW','YERRUP'
37.5,37.5,0.001131915,0.001131915
50.0,50.0,0.0005419307,0.0005419307
75.0,75.0,0.0001245557,0.0001245557
100.0,100.0,6.492996e-05,6.492996e-05
162.5,162.5,5.253769e-06,5.253769e-06
