'BINLOW','BINUP','BINCENTER','aS=0.11','aS=0.111','aS=0.112','aS=0.113','aS=0.114','aS=0.115','aS=0.116','aS=0.117','aS=0.118','aS=0.119','aS=0.12','aS=0.121','aS=0.122','aS=0.123','aS=0.124'
5,1,15,0.11,0.111,0.112,0.113,0.114,0.115,0.116,0.117,0.118,0.119,0.12,0.121,0.122,0.123,0.124
200.0,275.0,237.5,0.12394745402,0.12619488742,0.128447325175,0.130708898502,0.132973242624,0.135237115293,0.137503875264,0.139772319189,0.142039993366,0.144303888677,0.146561175428,0.148808218718,0.151041553401,0.153257280016,0.155451166469
275.0,375.0,325.0,0.0440719442373,0.044816967969,0.0455637470233,0.0463142231602,0.0470666337298,0.0478202478175,0.0485764938141,0.0493353553665,0.0500962937025,0.0508587147275,0.0516219418284,0.0523851194162,0.0531470310593,0.0539064467644,0.054661857066
375.0,525.0,450.0,0.0109337947039,0.0110963983262,0.0112593992772,0.0114233347844,0.0115879485481,0.011753213535,0.011919538563,0.0120870614396,0.0122557731795,0.0124256892205,0.0125967813015,0.0127689682499,0.0129420720367,0.0131158547837,0.0132900012285
525.0,725.0,625.0,0.00223913788024,0.00226813618612,0.00229723948859,0.00232656686741,0.00235610975144,0.00238588650176,0.00241599767739,0.00244648784201,0.00247738598412,0.00250872419188,0.00254051979913,0.00257278860762,0.00260550927006,0.00263865005902,0.00267215741781
725.0,1050.0,887.5,0.000338708005364,0.000342459494957,0.000346238983791,0.000350065917767,0.000353946795236,0.000357891024376,0.000361912389734,0.000366022426445,0.00037022999102,0.000374543507374,0.000378972115599,0.000383520303621,0.000388187464229,0.000392969575439,0.000397858489352
