'BINLOW','BINUP','BINCENTER','aS=0.108','aS=0.109','aS=0.11','aS=0.111','aS=0.112','aS=0.113','aS=0.114','aS=0.115','aS=0.116','aS=0.117','aS=0.118','aS=0.119','aS=0.12','aS=0.121','aS=0.122','aS=0.123','aS=0.124','aS=0.125','aS=0.126','aS=0.127','aS=0.128','aS=0.129','aS=0.13'
8,1,23,0.108,0.109,0.11,0.111,0.112,0.113,0.114,0.115,0.116,0.117,0.118,0.119,0.12,0.121,0.122,0.123,0.124,0.125,0.126,0.127,0.128,0.129,0.13
200.0,250.0,225.0,0.154593554298,0.157472713521,0.160308026911,0.163245250428,0.166173695707,0.168937436918,0.171934992531,0.174879388583,0.177786837217,0.180815445794,0.183746178349,0.18658309395,0.189544131562,0.1924984791,0.195515057697,0.19846467221,0.201481849897,0.204458633694,0.207443020587,0.210334337087,0.213413111512,0.216515692853,0.21939942346
250.0,315.0,282.5,0.0902935824582,0.0919382265102,0.0935462265308,0.0952147704785,0.0969646401514,0.0985269707864,0.100234021279,0.101878794891,0.103522717266,0.105250205223,0.106907768279,0.108518187845,0.110200205425,0.111887936949,0.113595491221,0.11527310731,0.116984741418,0.11867129369,0.120361050093,0.121997674189,0.123728595104,0.125475179888,0.127108597014
315.0,400.0,357.5,0.0414722952409,0.0422014723532,0.04292676896,0.0436747369884,0.0444549617606,0.0451657274272,0.0459289884822,0.0466736056555,0.0474198393211,0.0481878992408,0.0489291929236,0.0496523628577,0.0504057461317,0.0511615234829,0.0519253372429,0.052677580152,0.0534407642556,0.0541988537217,0.0549544224423,0.0556902045272,0.0564618790635,0.0572437850302,0.0579752110775
400.0,500.0,450.0,0.0168000751707,0.0170852956921,0.0173709765722,0.0176638370031,0.0179747449227,0.0182535188657,0.0185516847382,0.0188431075016,0.0191380126247,0.0194375312467,0.0197293241422,0.0200112155585,0.0203075578227,0.0206051363239,0.0209046608693,0.0212010146339,0.0214999025606,0.0217982388865,0.0220961886757,0.0223860326123,0.0226882359092,0.0229921324532,0.0232805905251
500.0,625.0,562.5,0.00620511037724,0.00630479551201,0.00640620266583,0.00650932933472,0.00662796350453,0.006728043607,0.00683317224806,0.00693620044787,0.00704098002773,0.00714619901665,0.00724821597819,0.00734742259324,0.00745213704563,0.00755718545665,0.00766231163321,0.00776756700605,0.00787234749465,0.00797730189396,0.0080824622772,0.00818529052617,0.00829043329005,0.00839673207958,0.0084982163609
625.0,800.0,712.5,0.00207589983497,0.00210805736946,0.00214085377144,0.00217408917219,0.00221224817669,0.00224433693816,0.00227801254049,0.00231111990072,0.00234525073138,0.00237923829161,0.00241267258481,0.00244492959844,0.00247917104109,0.00251370999308,0.00254831341934,0.00258287185825,0.00261731047467,0.0026522743252,0.00268690077145,0.00272101616942,0.00275559408124,0.00279064127741,0.00282406369545
800.0,1050.0,925.0,0.000569323335527,0.000577776289034,0.000586487582017,0.000595230514573,0.000606364865325,0.000615027294108,0.000623955321545,0.000632558934126,0.0006412961447,0.00065036502318,0.000659240471391,0.000667328351633,0.000676526614026,0.000685691802322,0.000694724273628,0.000704064911183,0.000713175352733,0.000722428102762,0.000731655047074,0.000740709709622,0.000750164132717,0.000759202259762,0.000768192572757
1050.0,1400.0,1225.0,0.000109239441845,0.000110683641015,0.00011234657738,0.000113963276762,0.000116430404391,0.000118172260899,0.000119837871088,0.000121550511285,0.000123240126379,0.000124862226086,0.00012646416409,0.000128032289211,0.00012973565052,0.00013146517038,0.000133199940142,0.000134980018089,0.000136694249162,0.000138498310572,0.000140263360791,0.000142045521468,0.000143797160556,0.000145578963838,0.000147249656871
