'BINLOW','BINUP','BINCENTER','aS=0.114','aS=0.115','aS=0.116','aS=0.117','aS=0.118','aS=0.119','aS=0.12','aS=0.121','aS=0.122','aS=0.123'
8,1,10,0.114,0.115,0.116,0.117,0.118,0.119,0.12,0.121,0.122,0.123
200.0,250.0,225.0,0.570912039214,0.576782511341,0.583312786737,0.589102766292,0.594773443849,0.600096155903,0.604282665736,0.607542944171,0.609940281172,0.611931182658
250.0,315.0,282.5,0.268275646889,0.271116417971,0.27428837359,0.277129886691,0.279923715091,0.282633889025,0.284744485073,0.286519154586,0.287946388808,0.289182638565
315.0,400.0,357.5,0.0995013168863,0.100548378784,0.101716053749,0.102776897482,0.103825361984,0.104868785548,0.105689451086,0.106428514296,0.107068876967,0.107637638775
400.0,500.0,450.0,0.0346105016395,0.0349688700947,0.0353682979959,0.0357360113819,0.0361030048678,0.0364780679212,0.0367774520631,0.0370661968262,0.0373342659833,0.0375765445036
500.0,625.0,562.5,0.011699529787,0.0118187791758,0.0119510921301,0.0120745761943,0.0121998422857,0.0123307911007,0.0124391406861,0.0125497868149,0.0126593508953,0.0127597638045
625.0,800.0,712.5,0.00352787158463,0.00356325024052,0.00360228022796,0.00363896641501,0.0036770088713,0.00371803558321,0.00375271782399,0.00379026249222,0.00382955252336,0.00386586907017
800.0,1050.0,925.0,0.000846077128523,0.000854484156827,0.00086369137841,0.000872430333996,0.000881803906187,0.000892325143352,0.000901484222233,0.000912030590275,0.000923694917932,0.000934595585984
1050.0,1400.0,1225.0,0.000160558712183,0.000162147247726,0.000163891244583,0.000165561638439,0.000167433034812,0.000169612317973,0.000171594005995,0.000174002944057,0.00017680642357,0.000179464070932
