'BINLOW','BINUP','BINCENTER','aS=0.11','aS=0.111','aS=0.112','aS=0.113','aS=0.114','aS=0.115','aS=0.116','aS=0.117','aS=0.118','aS=0.119','aS=0.12','aS=0.121','aS=0.122','aS=0.123','aS=0.124','aS=0.125','aS=0.126','aS=0.127','aS=0.128','aS=0.129','aS=0.13','aS=0.131'
8,1,22,0.11,0.111,0.112,0.113,0.114,0.115,0.116,0.117,0.118,0.119,0.12,0.121,0.122,0.123,0.124,0.125,0.126,0.127,0.128,0.129,0.13,0.131
200.0,250.0,225.0,0.541564172415,0.547438380244,0.553323859324,0.559220471958,0.565128081089,0.571046550302,0.576975743817,0.58291552649,0.588865763811,0.594826321901,0.600797067511,0.60677786802,0.612768591432,0.618769106374,0.624779282099,0.630798988476,0.636828095995,0.64286647576,0.648913999491,0.654970539522,0.661035968794,0.667110160859
250.0,315.0,282.5,0.253642533489,0.256449633116,0.259262495982,0.262081048787,0.264905218682,0.267734933268,0.270570120593,0.27341070915,0.276256627874,0.279107806143,0.281964173771,0.28482566101,0.287692198546,0.290563717495,0.293440149408,0.296321426258,0.299207480449,0.302098244806,0.304993652575,0.307893637425,0.310798133438,0.313707075117
315.0,400.0,357.5,0.0940481689481,0.0950894092278,0.0961326018356,0.0971777168416,0.0982247245478,0.0992735954863,0.100324300418,0.101376810332,0.102431096441,0.103487130183,0.10454488322,0.105604327434,0.106665434925,0.107728178015,0.108792529239,0.10985846135,0.110925947314,0.111994960309,0.113065473724,0.114137461159,0.115210896421,0.116285753523
400.0,500.0,450.0,0.032767792436,0.03312837374,0.0334895312967,0.0338512538818,0.034213530375,0.0345763497592,0.0349397011201,0.0353035736445,0.0356679566204,0.0360328394353,0.036398211576,0.0367640626276,0.0371303822724,0.0374971602895,0.0378643865538,0.0382320510352,0.0386001437976,0.0389686549987,0.0393375748886,0.0397068938093,0.0400766021942,0.0404466905665
500.0,625.0,562.5,0.0111175487784,0.0112389372458,0.0113604838863,0.0114821846838,0.0116040356654,0.0117260329012,0.0118481725035,0.0119704506266,0.0120928634665,0.0122154072601,0.0123380782854,0.0124608728604,0.0125837873432,0.0127068181315,0.0128299616622,0.0129532144109,0.0130765728916,0.0132000336563,0.0133235932949,0.0134472484344,0.0135709957387,0.0136948319083
625.0,800.0,712.5,0.00336710920363,0.00340353326672,0.00343999349443,0.00347648862827,0.00351301742516,0.00354957865735,0.00358617111218,0.00362279359195,0.00365944491374,0.00369612390924,0.00373282942458,0.00376956032019,0.00380631547061,0.00384309376436,0.00387989410377,0.00391671540483,0.00395355659702,0.00399041662317,0.00402729443933,0.00406418901459,0.00410109933094,0.00413802438315
800.0,1050.0,925.0,0.00081570179042,0.000824402142739,0.00083310789912,0.000841818752515,0.000850534400185,0.000859254543636,0.000867978888569,0.000876707144825,0.000885439026333,0.000894174251059,0.000902912540952,0.000911653621895,0.000920397223652,0.000929143079824,0.000937890927794,0.000946640508684,0.000955391567303,0.000964143852104,0.000972897115132,0.000981651111987,0.000990405601769,0.000999160347042
1050.0,1400.0,1225.0,0.000156068526065,0.000157703099753,0.000159338044322,0.000160973302558,0.000162608818151,0.000164244535685,0.000165880400623,0.000167516359293,0.000169152358882,0.000170788347415,0.000172424273752,0.000174060087568,0.000175695739346,0.000177331180365,0.000178966362689,0.000180601239154,0.000182235763359,0.000183869889654,0.000185503573129,0.000187136769605,0.000188769435624,0.000190401528435
