'BINLOW','BINUP','BINCENTER','aS=0.114','aS=0.115','aS=0.116','aS=0.117','aS=0.118','aS=0.119','aS=0.12','aS=0.121','aS=0.122','aS=0.123'
8,1,10,0.114,0.115,0.116,0.117,0.118,0.119,0.12,0.121,0.122,0.123
200.0,250.0,225.0,0.570806762282,0.576782397631,0.582768814067,0.588765874842,0.594773443849,0.60079138562,0.606819565327,0.612857848772,0.618906102396,0.624964193268
250.0,315.0,282.5,0.268425763902,0.271292031064,0.274163826863,0.277041078866,0.279923715091,0.282811664003,0.285704854507,0.288603215955,0.291506678136,0.294415171276
315.0,400.0,357.5,0.0995650181396,0.100627361245,0.101691552437,0.102757562385,0.103825361984,0.104894922355,0.105966214848,0.107039211033,0.108113882704,0.109190201874
400.0,500.0,450.0,0.0346324609786,0.0349993066989,0.0353666864982,0.0357345894846,0.0361030048678,0.036471921958,0.036841330165,0.0372112189979,0.0375815780635,0.0379523970664
500.0,625.0,562.5,0.0117076842338,0.0118305160441,0.01195348888,0.0120765988954,0.0121998422857,0.0123232152874,0.0124467141777,0.0125703352744,0.012694074935,0.012817929557
625.0,800.0,712.5,0.00353035238159,0.00356697239635,0.00360362260501,0.00364030182072,0.0036770088713,0.00371374259906,0.00375050186064,0.00378728552687,0.0038240924826,0.00386092162651
800.0,1050.0,925.0,0.000847224124251,0.000855863733926,0.000864507088493,0.000873153905424,0.000881803906187,0.000890456816193,0.000899112364747,0.000907770285001,0.000916430313898,0.000925092192131
1050.0,1400.0,1225.0,0.000161006157102,0.000162612875516,0.000164219628645,0.000165826365224,0.000167433034812,0.000169039587777,0.000170645975287,0.000172252149294,0.000173858062527,0.00017546366848
