'XERRLOW','XERRUP','YERRLOW','YERRUP'
37.5,37.5,0.001213728,0.001213728
50.0,50.0,0.0003750277,0.0003750277
75.0,75.0,0.0001548024,0.0001548024
100.0,100.0,4.368742e-05,4.368742e-05
162.5,162.5,1.352119e-05,1.352119e-05
