'XERRLOW','XERRUP','YERRLOW','YERRUP'
37.5,37.5,0.001133571,0.001133571
50.0,50.0,0.0005619404,0.0005619404
75.0,75.0,0.0001271015,0.0001271015
100.0,100.0,6.968905e-05,6.968905e-05
162.5,162.5,5.257874e-06,5.257874e-06
