'BINLOW','BINUP','BINCENTER','aS=0.11','aS=0.111','aS=0.112','aS=0.113','aS=0.114','aS=0.115','aS=0.116','aS=0.117','aS=0.118','aS=0.119','aS=0.12','aS=0.121','aS=0.122','aS=0.123','aS=0.124','aS=0.125','aS=0.126','aS=0.127','aS=0.128','aS=0.129','aS=0.13'
8,1,21,0.11,0.111,0.112,0.113,0.114,0.115,0.116,0.117,0.118,0.119,0.12,0.121,0.122,0.123,0.124,0.125,0.126,0.127,0.128,0.129,0.13
200.0,250.0,225.0,0.545030705583,0.550569492775,0.556097268889,0.561589805443,0.567054718517,0.572544280414,0.577930829292,0.583148663227,0.588865763811,0.593941615371,0.599170125486,0.604450645045,0.609592159926,0.614629388931,0.619505903673,0.624218803744,0.628512792539,0.633177114493,0.636532215453,0.639000123473,0.641887067075
250.0,315.0,282.5,0.253290710024,0.256148757863,0.25900341726,0.261844355591,0.264674345867,0.267516222257,0.270312802741,0.273038680545,0.276256627874,0.278632707273,0.281356385909,0.284099283836,0.286778886919,0.289408572816,0.291953868207,0.294422900365,0.296685599538,0.299151632142,0.30096086661,0.302373406543,0.304355405877
315.0,400.0,357.5,0.0931810849466,0.094307803578,0.0954335453405,0.0965550791205,0.0976730003937,0.0987958145441,0.0999019494339,0.100985849749,0.102431096441,0.103193369631,0.104272111427,0.105356122567,0.106417487488,0.107460218623,0.10846804383,0.10944870705,0.110352569711,0.111340097586,0.112074273184,0.112676542035,0.113654619689
400.0,500.0,450.0,0.0322218375485,0.0326334178546,0.0330446727007,0.0334547308139,0.0338636149452,0.0342744830075,0.0346792721518,0.0350779655309,0.0356679566204,0.0358833696249,0.0362781297471,0.0366739908179,0.0370621580828,0.0374436743571,0.0378112394479,0.038169844159,0.0385013024953,0.0388665038908,0.0391382906822,0.039371291191,0.039804472146
500.0,625.0,562.5,0.0108510867166,0.0109974754016,0.0111437122188,0.0112896310798,0.0114351579822,0.0115813328288,0.0117254594491,0.0118684502022,0.0120928634665,0.0121537561115,0.0122941806124,0.0124345224796,0.0125723787045,0.01270789507,0.0128378195936,0.0129649282957,0.0130826005728,0.0132140399166,0.0133109556897,0.0133979510464,0.0135811512465
625.0,800.0,712.5,0.0032631484196,0.00330937300839,0.0033555254456,0.00340160230058,0.00344755392559,0.00349367122817,0.00353919659291,0.00358465792535,0.00365944491374,0.00367431433549,0.00371860437888,0.00376274371909,0.00380617906784,0.00384890069248,0.00388970626351,0.0039297410958,0.00396702092618,0.00400883898316,0.00403972124428,0.00406866294675,0.00413585261706
800.0,1050.0,925.0,0.000784749216632,0.000796429851054,0.000808077903902,0.000819709441175,0.00083130336033,0.000842919348928,0.000854398978905,0.000865970082215,0.000885439026333,0.000888383694174,0.000899512778668,0.00091054836213,0.00092143232221,0.000932138652137,0.000942300708815,0.00095230766528,0.000961672150931,0.000972297448273,0.000980099411692,0.000987823312633,0.00100766242564
1050.0,1400.0,1225.0,0.000148672661008,0.000151041871465,0.000153400765944,0.000155756218551,0.000158101608391,0.000160453029923,0.000162768269099,0.000165127452269,0.000169152358882,0.000169594916422,0.000171822963879,0.000174019956059,0.000176186055597,0.00017831147075,0.000180298037982,0.000182260467583,0.00018407423265,0.00018624428148,0.000187738700826,0.000189319358493,0.000194049835759
