'XERRLOW','XERRUP','YERRLOW','YERRUP'
37.5,37.5,0.001119453,0.001119453
50.0,50.0,0.0005620939,0.0005620939
75.0,75.0,0.0001213073,0.0001213073
100.0,100.0,6.162398e-05,6.162398e-05
162.5,162.5,4.809588e-06,4.809588e-06
