'BINLOW','BINUP','BINCENTER','aS=0.11','aS=0.111','aS=0.112','aS=0.113','aS=0.114','aS=0.115','aS=0.116','aS=0.117','aS=0.118','aS=0.119','aS=0.12','aS=0.121','aS=0.122','aS=0.123','aS=0.124','aS=0.125','aS=0.126','aS=0.127','aS=0.128','aS=0.129','aS=0.13','aS=0.131'
8,1,22,0.11,0.111,0.112,0.113,0.114,0.115,0.116,0.117,0.118,0.119,0.12,0.121,0.122,0.123,0.124,0.125,0.126,0.127,0.128,0.129,0.13,0.131
200.0,250.0,225.0,0.156643593992,0.159501301436,0.162383098699,0.16528890691,0.16821864645,0.171172236965,0.174149597384,0.177150645929,0.18017530013,0.183223476838,0.186295092238,0.189390061866,0.192508300614,0.195649722753,0.198814241938,0.202001771223,0.205212223075,0.208445509385,0.211701541481,0.214980230138,0.218281485595,0.22160521756
250.0,315.0,282.5,0.0905890150799,0.0922039798515,0.0938316151393,0.0954718637444,0.0971246681977,0.0987899707676,0.100467713469,0.10215783807,0.103860286101,0.105574998863,0.107301917432,0.109040982672,0.110792135238,0.112555315585,0.114330463975,0.116117520486,0.117916425014,0.119727117288,0.121549536868,0.12338362316,0.125229315417,0.127086552747
315.0,400.0,357.5,0.0411361773168,0.0418589763024,0.0425871638319,0.0433207104179,0.0440595865038,0.0448037624672,0.0455532086244,0.0463078952333,0.0470677924977,0.0478328705706,0.0486030995577,0.0493784495209,0.0501588904819,0.0509443924253,0.0517349253021,0.0525304590325,0.0533309635099,0.054136408603,0.0549467641597,0.0557620000098,0.0565820859677,0.0574069918358
400.0,500.0,450.0,0.0164666993696,0.0167510250699,0.0170373413085,0.0173256348753,0.0176158925575,0.0179081011408,0.0182022474112,0.0184983181562,0.0187963001663,0.0190961802362,0.0193979451665,0.0197015817643,0.0200070768454,0.0203144172348,0.0206235897683,0.0209345812935,0.0212473786711,0.0215619687759,0.0218783384981,0.0221964747444,0.0225163644387,0.0228379945235
500.0,625.0,562.5,0.00607182064851,0.00617385004722,0.00627652595452,0.00637984292313,0.0064837955181,0.00658837831724,0.0066935859116,0.00679941290579,0.00690585391853,0.00701290358295,0.00712055654704,0.00722880747398,0.00733765104253,0.0074470819474,0.00755709489956,0.00766768462659,0.00777884587301,0.00789057340059,0.00800286198863,0.00811570643432,0.00822910155296,0.00834304217824
625.0,800.0,712.5,0.00199978654494,0.00203304017213,0.00206649453415,0.00210014773193,0.00213399787274,0.00216804307033,0.002202281445,0.00223671112382,0.00227133024069,0.00230613693649,0.00234112935918,0.00237630566395,0.00241166401328,0.00244720257707,0.00248291953276,0.00251881306539,0.0025548813677,0.00259112264026,0.00262753509151,0.00266411693784,0.00270086640371,0.00273778172171
800.0,1050.0,925.0,0.000530423754056,0.00053908375903,0.000547792015328,0.000556547990224,0.000565351153568,0.000574200977816,0.000583096938054,0.00059203851203,0.000601025180175,0.000610056425624,0.000619131734245,0.000628250594654,0.000637412498238,0.000646616939175,0.000655863414447,0.000665151423863,0.000674480470071,0.000683850058576,0.000693259697744,0.000702708898827,0.000712197175969,0.000721724046216
1050.0,1400.0,1225.0,0.000103505099889,0.000105181446508,0.000106866694853,0.000108560736199,0.000110263462435,0.000111974766078,0.000113694540271,0.000115422678789,0.000117159076047,0.000118903627099,0.000120656227642,0.000122416774024,0.000124185163241,0.000125961292945,0.000127745061444,0.000129536367705,0.000131335111356,0.000133141192687,0.000134954512654,0.000136774972878,0.000138602475651,0.000140436923931
