'BINLOW','BINUP','BINCENTER','aS=0.115','aS=0.117','aS=0.118','aS=0.119','aS=0.121'
8,1,5,0.115,0.117,0.118,0.119,0.121
200.0,250.0,225.0,0.173006191643,0.179036805793,0.182087640807,0.185162046184,0.191381219264
250.0,315.0,282.5,0.100967885574,0.104400925147,0.106136158061,0.10788378492,0.111415974775
315.0,400.0,357.5,0.046311552599,0.0478627817486,0.0486464117134,0.0494353436396,0.0510289882225
400.0,500.0,450.0,0.0187458204067,0.019362802331,0.0196742833587,0.0199877392461,0.0206205200916
500.0,625.0,562.5,0.00689736457181,0.00711742709669,0.00722840789562,0.00734001416231,0.00756508053148
625.0,800.0,712.5,0.00230897278651,0.00238201000879,0.00241883050607,0.00245584961675,0.00253047579245
800.0,1050.0,925.0,0.000628193720132,0.000647689271332,0.000657510969527,0.000667381194025,0.000687264973777
1050.0,1400.0,1225.0,0.000120565006447,0.000124266378804,0.000126130290193,0.000128002868119,0.000131773577
