'BINLOW','BINUP','BINCENTER','aS=0.11','aS=0.111','aS=0.112','aS=0.113','aS=0.114','aS=0.115','aS=0.116','aS=0.117','aS=0.118','aS=0.119','aS=0.12','aS=0.121','aS=0.122','aS=0.123','aS=0.124'
8,1,15,0.11,0.111,0.112,0.113,0.114,0.115,0.116,0.117,0.118,0.119,0.12,0.121,0.122,0.123,0.124
200.0,250.0,225.0,0.0262703411551,0.0269644989712,0.027669945602,0.028386738101,0.0291149325945,0.0298545842835,0.0306057474466,0.0313684754418,0.0321428207098,0.0329288347763,0.0337265682548,0.0345360708498,0.0353573913595,0.0361905776789,0.0370356768033
250.0,315.0,282.5,0.0182858953715,0.0187542799559,0.0192298070719,0.019712501924,0.0202023890562,0.0206994923569,0.0212038350625,0.0217154397618,0.0222343284006,0.0227605222858,0.0232940420898,0.023834907855,0.024383138998,0.0249387543146,0.0255017719836
315.0,400.0,357.5,0.00974270912884,0.00998368586132,0.0102280735361,0.0104758784913,0.0107271067328,0.0109817639378,0.0112398554587,0.0115013863257,0.0117663612512,0.0120347846328,0.0123066605572,0.0125819928028,0.0128607848444,0.0131430398554,0.0134287607123
400.0,500.0,450.0,0.00527933473372,0.00541084011917,0.00554422349357,0.00567948834168,0.00581663795798,0.00595567544872,0.00609660373399,0.00623942554976,0.00638414344993,0.00653075980841,0.00667927682112,0.00682969650809,0.0069820207154,0.0071362511173,0.00729238921822
500.0,625.0,562.5,0.00216661329888,0.0022191684082,0.0022724317892,0.00232640387219,0.00238108501596,0.00243647550881,0.00249257556952,0.00254938534839,0.00260690492821,0.00266513432526,0.00272407349026,0.00278372230938,0.00284408060519,0.00290514813763,0.00296692460496
625.0,800.0,712.5,0.000733842184926,0.000751122644332,0.000768620109693,0.000786334366204,0.000804265177464,0.000822412285879,0.00084077541306,0.000859354260216,0.000878148508544,0.000897157819617,0.000916381835755,0.000935820180414,0.000955472458552,0.000975338256999,0.000995417144821
800.0,1050.0,925.0,0.000196037079549,0.000200589374762,0.000205196703099,0.000209858957913,0.000214576027152,0.000219347793469,0.000224174134338,0.000229054922176,0.000233990024448,0.000238979303781,0.00024402261808,0.000249119820628,0.000254270760198,0.000259475281161,0.000264733223588
1050.0,1400.0,1225.0,3.90388398528e-05,3.99191261889e-05,4.08093109828e-05,4.17093601985e-05,4.2619238924e-05,4.35389113968e-05,4.44683410246e-05,4.54074904116e-05,4.63563213806e-05,4.73147949961e-05,4.82828715863e-05,4.9260510765e-05,5.02476714533e-05,5.12443119006e-05,5.22503897053e-05
