'BINLOW','BINUP','BINCENTER','aS=0.11','aS=0.111','aS=0.112','aS=0.113','aS=0.114','aS=0.115','aS=0.116','aS=0.117','aS=0.118','aS=0.119','aS=0.12','aS=0.121','aS=0.122','aS=0.123','aS=0.124','aS=0.125','aS=0.126','aS=0.127','aS=0.128','aS=0.129','aS=0.13'
8,1,21,0.11,0.111,0.112,0.113,0.114,0.115,0.116,0.117,0.118,0.119,0.12,0.121,0.122,0.123,0.124,0.125,0.126,0.127,0.128,0.129,0.13
200.0,250.0,225.0,0.155478705133,0.15848025263,0.161500504701,0.164533593874,0.167580837152,0.170644197447,0.173715379046,0.176767749604,0.18017530013,0.182992851052,0.18609301399,0.189214247419,0.192316672891,0.195403749842,0.198452302593,0.201462599342,0.204351594272,0.207373366057,0.209959177364,0.212268783229,0.214925553799
250.0,315.0,282.5,0.0891195856105,0.0908927689378,0.09267676098,0.0944688653227,0.0962695097346,0.098078753725,0.0998939181055,0.10170314282,0.103860286101,0.105374084462,0.107205419631,0.109046094053,0.110877773135,0.112700915996,0.114499444294,0.116277749043,0.117989803034,0.119779300561,0.121318953675,0.122718628707,0.124432748747
315.0,400.0,357.5,0.0401411033427,0.0409641280284,0.0417925565314,0.0426253043103,0.0434623731028,0.0443054048483,0.0451492367886,0.0459914982103,0.0470677924977,0.0476979221524,0.0485494917787,0.049405921431,0.0502577620467,0.0511053862693,0.0519389204836,0.0527638080628,0.0535551044672,0.0543943463245,0.0551060086585,0.0557616950251,0.0566745012015
400.0,500.0,450.0,0.0159674832307,0.0163007820922,0.0166361896402,0.0169734553821,0.0173124880911,0.0176536010729,0.0179955059655,0.0183380332613,0.0187963001663,0.0190274979974,0.0193723606195,0.0197184357599,0.020063178838,0.0204064004124,0.0207436755935,0.0210780151434,0.0214005054342,0.0217412199891,0.0220333890451,0.0223085985044,0.0227159850691
500.0,625.0,562.5,0.00586493117452,0.00598685103414,0.00610944029793,0.00623265473288,0.00635641177104,0.00648112079855,0.00660561839404,0.00673047710922,0.00690585391853,0.00698061947468,0.00710556609216,0.00723091735244,0.0073555533048,0.00747944124766,0.00760050399085,0.00772052458649,0.00783591408374,0.00795943369499,0.00806354964127,0.00816338537309,0.00833100720194
625.0,800.0,712.5,0.00191946536492,0.00196044519865,0.00200163826258,0.00204306249398,0.0020846782004,0.00212655758116,0.00216846537878,0.00221073239021,0.00227133024069,0.00229467057189,0.00233677425409,0.00237890422614,0.0024209121585,0.00246273262952,0.0025035963863,0.00254424147659,0.00258363540708,0.00262567346248,0.00266165127215,0.00269716642231,0.00275981984477
800.0,1050.0,925.0,0.000502774588454,0.000514248727091,0.000525770054193,0.000537350528051,0.000548966246873,0.000560759022969,0.000572363607592,0.000584148480173,0.000601025180175,0.000607148987415,0.000618660033279,0.000630164205453,0.000641536145087,0.000652758627944,0.000663391501346,0.000673940659426,0.000683611117666,0.000695409990903,0.000703714843814,0.000712169067055,0.000733856244686
1050.0,1400.0,1225.0,9.83302286064e-05,0.000100508938108,0.000102695747476,0.000104895480757,0.000107102919923,0.000109332700396,0.000111546277326,0.000113805068224,0.000117159076047,0.000118183718484,0.000120386890389,0.000122581821997,0.000124765886259,0.000126932822404,0.00012901042166,0.000131084942281,0.000133070690782,0.000135320307661,0.000137121794484,0.000139034065596,0.000143492799161
