'BINLOW','BINUP','BINCENTER','aS=0.116','aS=0.118','aS=0.12'
8,1,3,0.116,0.118,0.12
200.0,250.0,225.0,0.584454922982,0.595254052103,0.606897837246
250.0,315.0,282.5,0.277327468363,0.282524283159,0.288035613289
315.0,400.0,357.5,0.103659893617,0.105583529208,0.107580665052
400.0,500.0,450.0,0.036389801194,0.03704406911,0.0377108187498
500.0,625.0,562.5,0.0124136320499,0.0126317256531,0.0128471550102
625.0,800.0,712.5,0.00378390054925,0.00384756696008,0.0039096649347
800.0,1050.0,925.0,0.000920577528486,0.00093530200165,0.000949110961151
1050.0,1400.0,1225.0,0.000178871117091,0.000181532826915,0.000183872535705
