'BINLOW','BINUP','BINCENTER','aS=0.11','aS=0.111','aS=0.112','aS=0.113','aS=0.114','aS=0.115','aS=0.116','aS=0.117','aS=0.118','aS=0.119','aS=0.12','aS=0.121','aS=0.122','aS=0.123','aS=0.124'
5,1,15,0.11,0.111,0.112,0.113,0.114,0.115,0.116,0.117,0.118,0.119,0.12,0.121,0.122,0.123,0.124
200.0,275.0,237.5,0.0246025772916,0.0252276398493,0.0258609930977,0.0265037193114,0.0271547197271,0.0278133870747,0.0284807309223,0.0291567682742,0.0298411463898,0.0305335857485,0.031233610733,0.0319406078618,0.0326537639201,0.0333720712635,0.0340943687229
275.0,375.0,325.0,0.0108230043335,0.0110754207546,0.0113312721427,0.0115911933609,0.0118548044894,0.0121220365751,0.0123934107732,0.0126690899132,0.012949088334,0.0132334515852,0.0135221590419,0.0138151161014,0.0141120867858,0.0144127411334,0.0147166358836
375.0,525.0,450.0,0.00388008149192,0.00396521846884,0.0040514103363,0.00413883960768,0.00422748730354,0.00431734603584,0.00440862580097,0.00450140524125,0.00459573658983,0.00469169086919,0.00478929225369,0.0048885685475,0.00498947137463,0.00509192395214,0.00519580066297
525.0,725.0,625.0,0.00083028416817,0.000846250202098,0.000862461140712,0.00087897145818,0.000895791003099,0.000912940270199,0.000930469132568,0.000948410781728,0.000966792611833,0.000985645615677,0.00100499107806,0.00102484674182,0.0010452059111,0.00106605328198,0.00108735669953
725.0,1050.0,887.5,0.000151663776388,0.000154287552649,0.000156931773344,0.000159604995387,0.000162312221348,0.000165059481692,0.000167852325041,0.00017069653602,0.000173596711217,0.000176557299147,0.000179583274642,0.000182677838584,0.000185842001745,0.000189075044231,0.000192375037356
