'BINLOW','BINUP','BINCENTER','aS=0.116','aS=0.118','aS=0.12'
5,1,3,0.116,0.118,0.12
200.0,275.0,237.5,0.139849058824,0.14438856043,0.149138515646
275.0,375.0,325.0,0.0492003426018,0.0507533092004,0.0523353629208
375.0,525.0,450.0,0.0120109905611,0.0123630040643,0.012715714355
525.0,725.0,625.0,0.00241920282513,0.00248673979033,0.00255277506245
725.0,1050.0,887.5,0.000357903245076,0.000367353880674,0.000376360860596
