'XERRLOW','XERRUP','YERRLOW','YERRUP'
25.0,25.0,0.001537249,0.001537249
32.5,32.5,0.0005080747,0.0005080747
42.5,42.5,0.0002781457,0.0002781457
50.0,50.0,9.250132e-05,9.250132e-05
62.5,62.5,4.347562e-05,4.347562e-05
87.5,87.5,1.437695e-05,1.437695e-05
125.0,125.0,4.915298e-06,4.915298e-06
175.0,175.0,1.224498e-06,1.224498e-06
