'BINLOW','BINUP','BINCENTER','aS=0.111','aS=0.112','aS=0.113','aS=0.114','aS=0.115','aS=0.116','aS=0.117','aS=0.118','aS=0.119','aS=0.12','aS=0.121','aS=0.122','aS=0.123'
8,1,13,0.111,0.112,0.113,0.114,0.115,0.116,0.117,0.118,0.119,0.12,0.121,0.122,0.123
200.0,250.0,225.0,0.542479399657,0.548312758545,0.554157110786,0.560012319216,0.565878247313,0.571754759195,0.577641719616,0.583538993969,0.589446448279,0.595363949205,0.601291364035,0.607228560686,0.613175407702
250.0,315.0,282.5,0.257086699172,0.259908976334,0.262736974896,0.265570621275,0.268409842343,0.271254565423,0.274104718292,0.276960229172,0.27982102673,0.282687040081,0.285558198778,0.288434432815,0.291315672623
315.0,400.0,357.5,0.0962083146601,0.0972646060632,0.0983228481314,0.0993830106382,0.100445063592,0.101508977233,0.102574722035,0.103642268702,0.104711588165,0.105782651582,0.106855430338,0.107929896042,0.109006020524
400.0,500.0,450.0,0.0338166228081,0.0341855410991,0.0345550383192,0.0349251030703,0.0352957240606,0.0356668901033,0.0360385901157,0.0364108131185,0.036783548235,0.0371567846898,0.0375305118085,0.0379047190167,0.0382793958388
500.0,625.0,562.5,0.0115647757414,0.0116898601463,0.0118151030555,0.0119405003751,0.0120660480553,0.01219174209,0.0123175785166,0.0124435534151,0.0125696629079,0.0126959031598,0.0128222703768,0.0129487608064,0.0130753707366
625.0,800.0,712.5,0.003536123423,0.0035739667334,0.00361184584253,0.00364975946318,0.00368770632399,0.00372568516928,0.00376369475886,0.00380173386787,0.0038398012866,0.00387789582032,0.00391601628913,0.00395416152776,0.00399233038541
800.0,1050.0,925.0,0.00086520003416,0.00087431084366,0.000883426720647,0.000892547350863,0.000901672424471,0.000910801636006,0.000919934684311,0.000929071272486,0.000938211107834,0.000947353901807,0.000956499369951,0.000965647231857,0.000974797211105
1050.0,1400.0,1225.0,0.000168542074471,0.000170280199464,0.000172018571766,0.000173757132555,0.000175495823949,0.00017723458899,0.000178973371627,0.00018071211671,0.000182450769971,0.000184189278016,0.000185927588309,0.000187665649162,0.00018940340972
