'XERRLOW','XERRUP','YERRLOW','YERRUP'
25.0,25.0,0.002307273,0.002307273
32.5,32.5,0.001291458,0.001291458
42.5,42.5,0.0005111154,0.0005111154
50.0,50.0,0.00022415,0.00022415
62.5,62.5,0.0001100111,0.0001100111
87.5,87.5,4.172595e-05,4.172595e-05
125.0,125.0,4.458637e-05,4.458637e-05
175.0,175.0,2.397911e-06,2.397911e-06
