'BINLOW','BINUP','BINCENTER','aS=0.108','aS=0.109','aS=0.11','aS=0.111','aS=0.112','aS=0.113','aS=0.114','aS=0.115','aS=0.116','aS=0.117','aS=0.118','aS=0.119','aS=0.12','aS=0.121','aS=0.122','aS=0.123','aS=0.124','aS=0.125','aS=0.126','aS=0.127','aS=0.128','aS=0.129','aS=0.13'
5,1,23,0.108,0.109,0.11,0.111,0.112,0.113,0.114,0.115,0.116,0.117,0.118,0.119,0.12,0.121,0.122,0.123,0.124,0.125,0.126,0.127,0.128,0.129,0.13
200.0,275.0,237.5,0.120953355839,0.123161735296,0.125388086226,0.127632332283,0.129894396678,0.132174202191,0.134471671183,0.136786725606,0.139119287018,0.141469276591,0.143836615123,0.146221223051,0.148623020459,0.151041927089,0.153477862353,0.155930745343,0.158400494842,0.160887029331,0.163390267004,0.165910125772,0.16844652328,0.170999376908,0.173568603787
275.0,375.0,325.0,0.0428796816155,0.043647901454,0.044421978322,0.045201880214,0.0459875750463,0.046779030662,0.0475762148343,0.0483790952719,0.0491876396218,0.0500018154746,0.0508215903675,0.0516469317887,0.0524778071811,0.0533141839462,0.0541560294475,0.0550033110144,0.0558559959456,0.0567140515128,0.0575774449639,0.0584461435266,0.0593201144113,0.060199324815,0.0610837419239
375.0,525.0,450.0,0.0105603696358,0.0107419065253,0.0109246404293,0.0111085616931,0.0112936606802,0.0114799277724,0.011667353371,0.0118559278973,0.0120456417938,0.0122364855245,0.0124284495758,0.0126215244573,0.0128157007025,0.0130109688693,0.0132073195407,0.0134047433257,0.0136032308595,0.0138027728044,0.0140033598504,0.0142049827155,0.0144076321465,0.0146112989193,0.0148159738398
525.0,725.0,625.0,0.00215024337384,0.00218610675677,0.00222217957531,0.00225845966283,0.00229494486226,0.00233163302616,0.00236852201689,0.00240560970665,0.00244289397764,0.00248037272214,0.00251804384258,0.00255590525164,0.00259395487236,0.00263219063819,0.00267061049307,0.00270921239151,0.00274799429866,0.00278695419038,0.00282609005327,0.00286539988478,0.00290488169321,0.0029445334978,0.00298435332876
725.0,1050.0,887.5,0.000320953497846,0.000326179168876,0.000331432291192,0.000336712525008,0.000342019532666,0.000347352978636,0.000352712529531,0.000358097854106,0.000363508623273,0.0003689445101,0.000374405189817,0.000379890339823,0.000385399639687,0.000390932771153,0.000396489418142,0.000402069266753,0.000407672005263,0.000413297324135,0.00041894491601,0.000424614475713,0.00043030570025,0.000436018288808,0.000441751942753
