'XERRLOW','XERRUP','YERRLOW','YERRUP'
25.0,25.0,0.002365392,0.002365392
32.5,32.5,0.00131409,0.00131409
42.5,42.5,0.0005478407,0.0005478407
50.0,50.0,0.0002265908,0.0002265908
62.5,62.5,0.0001117158,0.0001117158
87.5,87.5,4.284969e-05,4.284969e-05
125.0,125.0,4.861681e-05,4.861681e-05
175.0,175.0,2.464325e-06,2.464325e-06
