'BINLOW','BINUP','BINCENTER','aS=0.111','aS=0.112','aS=0.113','aS=0.114','aS=0.115','aS=0.116','aS=0.117','aS=0.118','aS=0.119','aS=0.12','aS=0.121','aS=0.122','aS=0.123'
5,1,13,0.111,0.112,0.113,0.114,0.115,0.116,0.117,0.118,0.119,0.12,0.121,0.122,0.123
200.0,275.0,237.5,0.125525700369,0.127802975061,0.130098743673,0.13241037728,0.134730396933,0.1370554974,0.139384616061,0.141715501712,0.144044833392,0.146369281058,0.148681902934,0.150974845419,0.153230702028
275.0,375.0,325.0,0.0445931199868,0.0453446778445,0.0461035533234,0.0468684556672,0.0476367494903,0.0484078260003,0.0491819800394,0.0499594153409,0.0507395715997,0.051522207475,0.0523057222204,0.0530887368052,0.0538679608903
375.0,525.0,450.0,0.0110425416137,0.0112058009889,0.011371057414,0.0115379226651,0.0117057753424,0.01187465299,0.0120449360532,0.0122169030215,0.0123907072214,0.0125665323709,0.0127442930572,0.0129241320908,0.0131062059018
525.0,725.0,625.0,0.00225789010125,0.00228691193833,0.00231642051339,0.00234631007978,0.00237643130562,0.00240682618389,0.00243763216209,0.00246896303857,0.0025009104643,0.00253356651477,0.00256699028238,0.00260132812035,0.002636849879
725.0,1050.0,887.5,0.000341062954426,0.000344792487268,0.000348609811737,0.00035249418294,0.000356423047441,0.000360408088956,0.000364479008014,0.000368661402259,0.000372978890191,0.00037745587309,0.000382114679112,0.000386999440114,0.000392196076756
