'BINLOW','BINUP','BINCENTER','aS=0.11','aS=0.111','aS=0.112','aS=0.113','aS=0.114','aS=0.115','aS=0.116','aS=0.117','aS=0.118','aS=0.119','aS=0.12','aS=0.121','aS=0.122','aS=0.123','aS=0.124'
5,1,15,0.11,0.111,0.112,0.113,0.114,0.115,0.116,0.117,0.118,0.119,0.12,0.121,0.122,0.123,0.124
200.0,275.0,237.5,0.123823394179,0.126039443684,0.128273082665,0.130524234803,0.132792823365,0.135078771216,0.13738200083,0.139702434305,0.142039993366,0.144394599384,0.146766173383,0.149154636049,0.151559907744,0.153981908515,0.156420558101
275.0,375.0,325.0,0.0437889076962,0.0445575804964,0.0453319599063,0.0461120141948,0.0468977115627,0.0476890201473,0.0484859080262,0.0492883432212,0.0500962937025,0.0509097273923,0.0517286121687,0.0525529158693,0.053382606295,0.0542176512134,0.0550580183625
375.0,525.0,450.0,0.0107724096176,0.0109538262441,0.0111364057308,0.0113201385973,0.0115050153821,0.0116910266435,0.0118781629599,0.0120664149314,0.0122557731795,0.0124462283487,0.0126377711066,0.012830392145,0.01302408218,0.0132188319534,0.0134146322324
525.0,725.0,625.0,0.00218626414354,0.00222196245616,0.00225786266188,0.00229396264739,0.00233026030901,0.00236675355272,0.00240344029434,0.00244031845957,0.00247738598412,0.00251464081377,0.00255208090444,0.00258970422233,0.00262750874394,0.00266549245615,0.00270365335632
725.0,1050.0,887.5,0.00032772981218,0.000332951922712,0.000338200523771,0.000343475283418,0.00034877587183,0.000354101961303,0.000359453226265,0.000364829343271,0.00037022999102,0.00037565485035,0.000381103604245,0.000386575937841,0.000392071538426,0.000397590095439,0.000403131300476
