'XERRLOW','XERRUP','YERRLOW','YERRUP'
25.0,25.0,0.002371951,0.002371951
32.5,32.5,0.0007246907,0.0007246907
42.5,42.5,0.0002832556,0.0002832556
50.0,50.0,0.0001442711,0.0001442711
62.5,62.5,6.021859e-05,6.021859e-05
87.5,87.5,2.579978e-05,2.579978e-05
125.0,125.0,7.832087e-06,7.832087e-06
175.0,175.0,2.817428e-06,2.817428e-06
