'BINLOW','BINUP','BINCENTER','aS=0.115','aS=0.117','aS=0.118','aS=0.119','aS=0.121'
8,1,5,0.115,0.117,0.118,0.119,0.121
200.0,250.0,225.0,0.563145342054,0.574851072277,0.580719347741,0.586597718055,0.598384210878
250.0,315.0,282.5,0.268364588191,0.274060009552,0.276915794229,0.279776866044,0.285514587178
315.0,400.0,357.5,0.100892914813,0.103032194316,0.104104560953,0.105178706444,0.107332218148
400.0,500.0,450.0,0.0356014112495,0.0363506944823,0.0367261318842,0.0371020851376,0.0378554957972
500.0,625.0,562.5,0.0122226446312,0.0124773346221,0.0126048909458,0.0127325829098,0.0129883582775
625.0,800.0,712.5,0.00374545314913,0.00382258603863,0.00386119769175,0.00389983784392,0.00397719881693
800.0,1050.0,925.0,0.000918658986641,0.00093725005972,0.000946551046311,0.000955855268549,0.000974472252108
1050.0,1400.0,1225.0,0.000179505467241,0.000183059420131,0.000184836349033,0.000186613172222,0.000190166284746
