'BINLOW','BINUP','BINCENTER','aS=0.11','aS=0.111','aS=0.112','aS=0.113','aS=0.114','aS=0.115','aS=0.116','aS=0.117','aS=0.118','aS=0.119','aS=0.12','aS=0.121','aS=0.122','aS=0.123','aS=0.124'
5,1,15,0.11,0.111,0.112,0.113,0.114,0.115,0.116,0.117,0.118,0.119,0.12,0.121,0.122,0.123,0.124
200.0,275.0,237.5,0.0245122461057,0.0251439596835,0.0257854292723,0.0264366921107,0.0270977845474,0.0277687420463,0.0284495991917,0.0291403896929,0.0298411463898,0.0305519012577,0.0312726854129,0.0320035291178,0.0327444617861,0.0334955119887,0.0342567074587
275.0,375.0,325.0,0.0107095676596,0.0109761019528,0.0112464518454,0.0115206251176,0.011798629173,0.0120804710424,0.0123661573879,0.0126556945066,0.012949088334,0.0132463444484,0.0135474680743,0.0138524640864,0.0141613370133,0.0144740910413,0.014790730018
375.0,525.0,450.0,0.0038109906569,0.00390454370091,0.00399939122552,0.00409553475237,0.00419297567192,0.00429171524517,0.00439175460533,0.00449309475939,0.00459573658983,0.00469968085622,0.00480492819681,0.00491147913022,0.00501933405699,0.00512849326119,0.00523895691202
525.0,725.0,625.0,0.000810079095229,0.000828872948731,0.000847894864701,0.000867144458403,0.000886621323091,0.000906325030469,0.00092625513113,0.000946411155012,0.000966792611833,0.000987398991525,0.00100822976466,0.00102928438287,0.00105056227927,0.00107206286886,0.00109378554896
725.0,1050.0,887.5,0.000145641363616,0.000148996870666,0.000152392254016,0.000155827424657,0.000159302289788,0.000162816752899,0.000166370713861,0.000169964069007,0.000173596711217,0.000177268529999,0.000180979411571,0.000184729238941,0.000188517891985,0.000192345247523,0.000196211179401
