'BINLOW','BINUP','BINCENTER','aS=0.111','aS=0.112','aS=0.113','aS=0.114','aS=0.115','aS=0.116','aS=0.117','aS=0.118','aS=0.119','aS=0.12','aS=0.121','aS=0.122','aS=0.123'
5,1,13,0.111,0.112,0.113,0.114,0.115,0.116,0.117,0.118,0.119,0.12,0.121,0.122,0.123
300.0,450.0,375.0,0.0104247233729,0.0105954295258,0.0107671537711,0.0109398869262,0.0111136198368,0.011288343378,0.0114640484539,0.011640725999,0.0118183669782,0.0119969623873,0.0121765032537,0.0123569806365,0.0125383856271
450.0,600.0,525.0,0.00403162679056,0.00409739891148,0.00416355304584,0.0042300854844,0.00429699253192,0.00436427050735,0.00443191574408,0.00449992459009,0.00456829340817,0.00463701857613,0.00470609648693,0.00477552354889,0.00484529618585
600.0,800.0,700.0,0.00126139627871,0.00128179994931,0.0013023169082,0.00132294594064,0.00134368583754,0.0013645353955,0.00138549341691,0.00140655870996,0.00142773008875,0.00144900637327,0.00147038638951,0.0014918689695,0.00151345295131
800.0,1100.0,950.0,0.000269909371524,0.00027415975348,0.000278431112168,0.000282723176755,0.00028703567818,0.000291368349157,0.000295720924186,0.00030009313955,0.000304484733324,0.000308895445376,0.00031332501737,0.000317773192769,0.000322239716834
1100.0,1500.0,1300.0,4.74010418909e-05,4.81483204202e-05,4.88992235978e-05,4.96537018339e-05,5.04117058801e-05,5.11731868296e-05,5.19380961179e-05,5.27063855252e-05,5.34780071765e-05,5.42529135422e-05,5.50310574388e-05,5.58123920293e-05,5.65968708236e-05
