'BINLOW','BINUP','BINCENTER','aS=0.111','aS=0.112','aS=0.113','aS=0.114','aS=0.115','aS=0.116','aS=0.117','aS=0.118','aS=0.119','aS=0.12','aS=0.121','aS=0.122','aS=0.123'
5,1,13,0.111,0.112,0.113,0.114,0.115,0.116,0.117,0.118,0.119,0.12,0.121,0.122,0.123
200.0,275.0,237.5,0.125753245037,0.12798155671,0.130227333654,0.132490499243,0.134770976447,0.137068687851,0.139383555659,0.141715501712,0.144064447491,0.146430314136,0.148813022449,0.151212492911,0.153628645685
275.0,375.0,325.0,0.0444363952727,0.0452085863251,0.0459864343014,0.046769907471,0.04755897404,0.0483536021554,0.0491537599089,0.0499594153409,0.0507705364441,0.0515870911679,0.0524090474211,0.0532363730766,0.0540690359741
375.0,525.0,450.0,0.0109192062817,0.0111011908849,0.0112843247256,0.0114685983702,0.0116540024048,0.0118405274361,0.0120281640918,0.0122169030215,0.0124067348977,0.0125976504158,0.0127896402954,0.0129826952808,0.0131768061414
525.0,725.0,625.0,0.00221439546997,0.00225017523896,0.00228615416103,0.00232233013993,0.00235870108903,0.0023952649315,0.00243201960036,0.00246896303857,0.00250609319914,0.00254340804518,0.00258090555003,0.00261858369728,0.00265644048087
725.0,1050.0,887.5,0.000331542799163,0.000336768959375,0.000342021162533,0.000347299080228,0.000352602386162,0.00035793075616,0.000363283868166,0.000368661402259,0.000374063040649,0.000379488467683,0.00038493736985,0.000390409435785,0.000395904356263
