'BINLOW','BINUP','BINCENTER','aS=0.111','aS=0.112','aS=0.113','aS=0.114','aS=0.115','aS=0.116','aS=0.117','aS=0.118','aS=0.119','aS=0.12','aS=0.121','aS=0.122','aS=0.123'
4,1,13,0.111,0.112,0.113,0.114,0.115,0.116,0.117,0.118,0.119,0.12,0.121,0.122,0.123
400.0,550.0,475.0,0.00416446150348,0.00423226329373,0.0043004578992,0.00436904152921,0.00443801040729,0.00450736077135,0.00457708887388,0.00464719098216,0.00471766337842,0.00478850236003,0.00485970423968,0.00493126534554,0.0050031820214
550.0,800.0,675.0,0.00123985962072,0.00125985143228,0.00127995345081,0.00130016449376,0.00132048338413,0.00134090895064,0.0013614400277,0.0013820754555,0.00140281408003,0.00142365475318,0.00144459633269,0.00146563768229,0.00148677767168
800.0,1100.0,950.0,0.000250918488021,0.000254918185662,0.000258938600982,0.000262979482657,0.000267040580829,0.00027112164711,0.000275222434597,0.000279342697876,0.000283482193028,0.000287640677641,0.00029181791081,0.000296013653146,0.000300227666781
1100.0,1500.0,1300.0,4.06681630871e-05,4.13056403816e-05,4.1946140056e-05,4.25896196418e-05,4.3236036976e-05,4.38853502003e-05,4.45375177621e-05,4.51924984152e-05,4.58502512195e-05,4.65107355421e-05,4.71739110569e-05,4.78397377451e-05,4.85081758951e-05
