'BINLOW','BINUP','BINCENTER','aS=0.111','aS=0.112','aS=0.113','aS=0.114','aS=0.115','aS=0.116','aS=0.117','aS=0.118','aS=0.119','aS=0.12','aS=0.121','aS=0.122','aS=0.123'
5,1,13,0.111,0.112,0.113,0.114,0.115,0.116,0.117,0.118,0.119,0.12,0.121,0.122,0.123
300.0,450.0,375.0,0.000231182716824,0.000236725110961,0.000242340707515,0.00024802952005,0.000253791554577,0.00025962680967,0.000265535276576,0.000271516939324,0.00027757177484,0.000283699753056,0.000289900837015,0.000296174982986,0.000302522140566
450.0,600.0,525.0,0.000244199583419,0.00024982588307,0.00025551997755,0.000261281748894,0.000267111072547,0.000273007817506,0.000278971846445,0.000285003015855,0.00029110117617,0.000297266171898,0.00030349784175,0.000309796018764,0.000316160530427
600.0,800.0,700.0,0.000135794257998,0.000138913005441,0.000142068996013,0.000145262157096,0.000148492412505,0.000151759682567,0.000155063884191,0.000158404930952,0.000161782733156,0.000165197197922,0.000168648229247,0.000172135728081,0.000175659592396
800.0,1100.0,950.0,4.42118026007e-05,4.52135707479e-05,4.62268706065e-05,4.72516697319e-05,4.82879346116e-05,4.93356306918e-05,5.03947224032e-05,5.14651731872e-05,5.25469455216e-05,5.36400009451e-05,5.47443000806e-05,5.5859802662e-05,5.69864675569e-05
1100.0,1500.0,1300.0,7.29506844564e-06,7.45706174216e-06,7.6208165194e-06,7.78632545005e-06,7.95358105579e-06,8.12257571172e-06,8.29330165096e-06,8.46575096909e-06,8.63991562867e-06,8.8157874635e-06,8.99335818291e-06,9.17261937596e-06,9.35356251555e-06
