'BINLOW','BINUP','BINCENTER','aS=0.111','aS=0.112','aS=0.113','aS=0.114','aS=0.115','aS=0.116','aS=0.117','aS=0.118','aS=0.119','aS=0.12','aS=0.121','aS=0.122','aS=0.123'
5,1,13,0.111,0.112,0.113,0.114,0.115,0.116,0.117,0.118,0.119,0.12,0.121,0.122,0.123
400.0,550.0,475.0,0.0049400132984,0.00502015863509,0.0051007601414,0.00518181324159,0.00526331337871,0.00534525601488,0.00542763663149,0.00551045072943,0.00559369382928,0.00567736147154,0.0057614492168,0.00584595264594,0.00593086736029
550.0,700.0,625.0,0.00140782221695,0.00143016766286,0.00145262873723,0.00147520407623,0.00149789232389,0.0015206921322,0.00154360216105,0.00156662107832,0.00158974755993,0.00161298028979,0.00163631795991,0.00165975927034,0.00168330292928
700.0,900.0,800.0,0.000421291263351,0.000427888662887,0.000434517984423,0.000441178807704,0.00044787071534,0.000454593292809,0.000461346128463,0.000468128813531,0.000474940942122,0.000481782111224,0.000488651920709,0.000495549973333,0.000502475874732
900.0,1200.0,1050.0,9.22471049606e-05,9.36676636835e-05,9.50945459817e-05,9.65276582027e-05,9.7966907442e-05,9.94122015424e-05,0.000100863449093,0.000102320559426,0.00010378344262,0.000105252009492,0.000106726171605,0.000108205841254,0.000109690931473
1200.0,1600.0,1400.0,1.42240331412e-05,1.44365694037e-05,1.46499174596e-05,1.48640628854e-05,1.50789913991e-05,1.52946888595e-05,1.55111412655e-05,1.57283347554e-05,1.5946255606e-05,1.61648902315e-05,1.63842251835e-05,1.66042471494e-05,1.68249429518e-05
