'BINLOW','BINUP','BINCENTER','aS=0.111','aS=0.112','aS=0.113','aS=0.114','aS=0.115','aS=0.116','aS=0.117','aS=0.118','aS=0.119','aS=0.12','aS=0.121','aS=0.122','aS=0.123'
5,1,13,0.111,0.112,0.113,0.114,0.115,0.116,0.117,0.118,0.119,0.12,0.121,0.122,0.123
300.0,450.0,375.0,0.0105678615307,0.0107327089119,0.0108998071617,0.0110686986324,0.0112386485487,0.0114096558902,0.0115820402724,0.0117560506359,0.0119317941402,0.0121093665084,0.0122886399404,0.012469587713,0.0126521177178
450.0,600.0,525.0,0.00420155908224,0.00426114865703,0.00432173949538,0.00438313408459,0.00444503204588,0.00450750363073,0.00457078098063,0.00463506346972,0.00470050270375,0.00476724835928,0.00483539161793,0.0049051393752,0.00497688262029
600.0,800.0,700.0,0.00121872573557,0.00123399450215,0.00124957208675,0.00126538675569,0.0012813495971,0.00129749196209,0.00131390545157,0.00133066711433,0.00134784893988,0.00136551819403,0.00138373557297,0.0014026171809,0.00142238526665
800.0,1100.0,950.0,0.00028636417752,0.000289489535054,0.000292696916841,0.000295960581056,0.000299251096608,0.000302575835987,0.00030596292353,0.000309436314495,0.000313018407437,0.000316730749635,0.000320595183727,0.000324650729225,0.000328974202409
1100.0,1500.0,1300.0,4.85330007667e-05,4.89718247828e-05,4.94259187498e-05,4.98890741175e-05,5.03541237184e-05,5.08223438018e-05,5.12994399771e-05,5.17905760793e-05,5.23003974805e-05,5.28337303513e-05,5.33957156595e-05,5.39949125095e-05,5.46489914354e-05
