'BINLOW','BINUP','BINCENTER','aS=0.111','aS=0.112','aS=0.113','aS=0.114','aS=0.115','aS=0.116','aS=0.117','aS=0.118','aS=0.119','aS=0.12','aS=0.121','aS=0.122','aS=0.123'
5,1,13,0.111,0.112,0.113,0.114,0.115,0.116,0.117,0.118,0.119,0.12,0.121,0.122,0.123
300.0,450.0,375.0,0.054184355948,0.0548424739272,0.0555024644937,0.0561643033697,0.0568279664712,0.0574934299061,0.0581606699737,0.0588296631625,0.0595003861491,0.060172815797,0.0608469291549,0.0615227034557,0.0622001161148
450.0,600.0,525.0,0.0179289669343,0.0181260289068,0.0183233837147,0.0185210247415,0.0187189454388,0.0189171393259,0.0191155999894,0.019314321082,0.0195132963222,0.0197125194937,0.0199119844449,0.0201116850877,0.0203116153978
600.0,800.0,700.0,0.00422626606426,0.00427219403303,0.00431817281465,0.00436420078116,0.00441027632437,0.00445639785558,0.00450256380545,0.0045487726237,0.00459502277895,0.0046413127585,0.0046876410681,0.00473400623177,0.00478040679158
800.0,1100.0,950.0,0.000803512824202,0.000812032963309,0.000820558171063,0.000829088145204,0.000837622587762,0.000846161204998,0.000854703707353,0.000863249809393,0.000871799229755,0.000880351691094,0.000888906920033,0.000897464647111,0.000906024606729
1100.0,1500.0,1300.0,0.000122863593132,0.000124136073895,0.000125408688375,0.000126681392179,0.000127954141645,0.000129226893827,0.000130499606486,0.000131772238081,0.000133044747758,0.00013431709534,0.000135589241315,0.00013686114683,0.000138132773678
