'BINLOW','BINUP','BINCENTER','aS=0.111','aS=0.112','aS=0.113','aS=0.114','aS=0.115','aS=0.116','aS=0.117','aS=0.118','aS=0.119','aS=0.12','aS=0.121','aS=0.122','aS=0.123'
5,1,13,0.111,0.112,0.113,0.114,0.115,0.116,0.117,0.118,0.119,0.12,0.121,0.122,0.123
400.0,550.0,475.0,0.00499735718564,0.00506803894222,0.00513987458234,0.00521262263376,0.00528591177377,0.00535981160113,0.00543458321918,0.00551045072943,0.00558757903104,0.00566613002778,0.00574619432416,0.00582798624292,0.00591191504696
550.0,700.0,625.0,0.00143457784485,0.00145258172148,0.00147094934173,0.00148959908258,0.00150842764895,0.0015274721583,0.00154683992108,0.00156662107832,0.00158689911437,0.00160775346438,0.00162925437423,0.00165153848822,0.00167486470528
700.0,900.0,800.0,0.000433032887156,0.00043780139045,0.000442690411051,0.000447661445279,0.000452669042009,0.000457723200713,0.000462864853194,0.000468128813531,0.000473547314892,0.000479151086569,0.000484970781718,0.000491061641511,0.000497531212065
900.0,1200.0,1050.0,9.56279648672e-05,9.65276410215e-05,9.74563984351e-05,9.84038336535e-05,9.93581588539e-05,0.000100322074547,0.000101306398266,0.000102320559426,0.000103373248806,0.000104473726345,0.000105631381709,0.000106862687324,0.000108201000746
1200.0,1600.0,1400.0,1.48710374271e-05,1.498353867e-05,1.51012382569e-05,1.52221385184e-05,1.53441524497e-05,1.54678635628e-05,1.5595305052e-05,1.57283347554e-05,1.58687084296e-05,1.60182960568e-05,1.61791995032e-05,1.63548821768e-05,1.6552353811e-05
