'BINLOW','BINUP','BINCENTER','aS=0.111','aS=0.112','aS=0.113','aS=0.114','aS=0.115','aS=0.116','aS=0.117','aS=0.118','aS=0.119','aS=0.12','aS=0.121','aS=0.122','aS=0.123'
5,1,13,0.111,0.112,0.113,0.114,0.115,0.116,0.117,0.118,0.119,0.12,0.121,0.122,0.123
400.0,550.0,475.0,0.000306720157872,0.000312632025035,0.000318678417475,0.000324845612735,0.000331118154256,0.000337510721681,0.000344052066874,0.000350767759089,0.00035768207309,0.00036481762855,0.000372195678754,0.000379854076687,0.000387867688941
550.0,700.0,625.0,0.000152315255721,0.000154958318811,0.000157665806076,0.000160425335369,0.00016322292491,0.000166064846183,0.000168967822814,0.000171946961348,0.000175017229585,0.000178193508879,0.000181492012957,0.000184940307848,0.000188594700379
700.0,900.0,800.0,5.71588947997e-05,5.80942733768e-05,5.90547507865e-05,6.0034418902e-05,6.10268746476e-05,6.20345350698e-05,6.30649915253e-05,6.41252563826e-05,6.52225421337e-05,6.63640330283e-05,6.75581120352e-05,6.88184641443e-05,7.01714101529e-05
900.0,1200.0,1050.0,1.48321908114e-05,1.50496223457e-05,1.52737088164e-05,1.55030397463e-05,1.5736492323e-05,1.5975075607e-05,1.62210760774e-05,1.64765962224e-05,1.67437650353e-05,1.70248733457e-05,1.73225236219e-05,1.76408711672e-05,1.79883517627e-05
1200.0,1600.0,1400.0,2.1437059898e-06,2.17018577895e-06,2.19766255874e-06,2.22599855267e-06,2.25521421235e-06,2.28557352685e-06,2.31750766162e-06,2.3514456425e-06,2.38787135547e-06,2.4273395049e-06,2.47056664911e-06,2.51868675273e-06,2.57390834145e-06
