'BINLOW','BINUP','BINCENTER','aS=0.111','aS=0.112','aS=0.113','aS=0.114','aS=0.115','aS=0.116','aS=0.117','aS=0.118','aS=0.119','aS=0.12','aS=0.121','aS=0.122','aS=0.123'
5,1,13,0.111,0.112,0.113,0.114,0.115,0.116,0.117,0.118,0.119,0.12,0.121,0.122,0.123
300.0,450.0,375.0,0.0544462607912,0.0550699085397,0.0556974457891,0.0563270660819,0.056955279003,0.0575814505673,0.0582061306478,0.0588296631625,0.0594516791845,0.0600717651373,0.0606883562064,0.0612997962526,0.0619025086389
450.0,600.0,525.0,0.0181127674287,0.0182837311831,0.0184559290732,0.0186286922429,0.0188008269888,0.0189722417203,0.0191432994649,0.019314321082,0.0194853353713,0.0196564259738,0.0198272796262,0.0199977065609,0.0201672213226
600.0,800.0,700.0,0.00429722319164,0.00433237474354,0.00436799082543,0.00440389950934,0.00443984302292,0.00447585783085,0.0045121201308,0.0045487726237,0.0045859117404,0.00462363868137,0.00466197681,0.00470105338878,0.00474108053722
800.0,1100.0,950.0,0.00082333452171,0.000828745322395,0.000834284760111,0.000839917537,0.000845598515753,0.000851348292878,0.000857217597874,0.000863249809393,0.000869482000311,0.00087595088834,0.000882685855741,0.000889751242018,0.000897267247149
1100.0,1500.0,1300.0,0.000126997574091,0.000127608366006,0.000128246842317,0.000128906623008,0.000129581913999,0.000130277674436,0.000131004669537,0.000131772238081,0.000132588809383,0.000133463171606,0.000134403799032,0.000135427743101,0.000136568043628
