'XERRLOW','XERRUP','YERRLOW','YERRUP'
75.0,75.0,0.0001439062,0.0001439062
75.0,75.0,5.892201e-05,5.892201e-05
100.0,100.0,1.735387e-05,1.735387e-05
150.0,150.0,5.000288e-06,5.000288e-06
200.0,200.0,1.079307e-06,1.079307e-06
