'XERRLOW','XERRUP','YERRLOW','YERRUP'
75.0,75.0,5.885758e-05,5.885758e-05
75.0,75.0,2.332663e-05,2.332663e-05
100.0,100.0,9.935281e-06,9.935281e-06
150.0,150.0,2.867979e-06,2.867979e-06
200.0,200.0,9.400204e-07,9.400204e-07
