'BINLOW','BINUP','BINCENTER','aS=0.111','aS=0.112','aS=0.113','aS=0.114','aS=0.115','aS=0.116','aS=0.117','aS=0.118','aS=0.119','aS=0.12','aS=0.121','aS=0.122','aS=0.123'
8,1,13,0.111,0.112,0.113,0.114,0.115,0.116,0.117,0.118,0.119,0.12,0.121,0.122,0.123
200.0,250.0,225.0,0.159601695863,0.162629469665,0.165680607968,0.168751761658,0.17183301889,0.174918943497,0.178006640425,0.181092001615,0.184169485296,0.187233516117,0.190273900339,0.193278347143,0.19622017917
250.0,315.0,282.5,0.0940928290899,0.0957809482317,0.0974832589583,0.0991973955094,0.10091750479,0.102641136771,0.104367843744,0.106096232173,0.107824105645,0.109549276567,0.111266880295,0.112971569493,0.114651392754
315.0,400.0,357.5,0.0431096632292,0.0438362343602,0.044569664458,0.0453088593218,0.0460514785223,0.0467969949792,0.047545628732,0.0482975330342,0.0490521222924,0.0498090595295,0.0505667659184,0.051323766899,0.0520767092805
400.0,500.0,450.0,0.0173820054387,0.0176542439418,0.0179294993067,0.0182072222688,0.0184864654945,0.0187671761883,0.019049765003,0.0193345013633,0.0196214413787,0.0199106956954,0.0202019103205,0.0204949556133,0.0207893981639
500.0,625.0,562.5,0.00664945733011,0.00674593734533,0.006843681519,0.00694245178431,0.00704187564214,0.00714201504881,0.00724312938861,0.00734543965558,0.00744907834015,0.0075541962828,0.00766080217999,0.00776905742188,0.00787922824444
625.0,800.0,712.5,0.0021868312121,0.0022157015481,0.00224503259696,0.00227473521851,0.00230468451564,0.0023349276122,0.00236558943692,0.00239677672488,0.00242857675789,0.00246107672637,0.00249433607269,0.00252848986565,0.00256379155715
800.0,1050.0,925.0,0.000572649696936,0.000579330981861,0.000586146211915,0.000593064191577,0.000600049873421,0.000607120126539,0.000614319330392,0.000621684946493,0.000629251899861,0.000637055500247,0.000645126996666,0.000653529192522,0.000662382939204
1050.0,1400.0,1225.0,0.000117603437916,0.000118772353479,0.000119972137669,0.000121195243147,0.000122434792117,0.000123695424757,0.000124988218884,0.000126322734105,0.000127707760882,0.000129152462586,0.000130665208942,0.000132262484337,0.000133976920879
