'BINLOW','BINUP','BINCENTER','aS=0.111','aS=0.112','aS=0.113','aS=0.114','aS=0.115','aS=0.116','aS=0.117','aS=0.118','aS=0.119','aS=0.12','aS=0.121','aS=0.122','aS=0.123'
8,1,13,0.111,0.112,0.113,0.114,0.115,0.116,0.117,0.118,0.119,0.12,0.121,0.122,0.123
200.0,250.0,225.0,0.160314867137,0.163211107548,0.166131457682,0.169075836769,0.172044163299,0.175036355033,0.178052329022,0.181092001615,0.184155288476,0.187242104598,0.190352364314,0.193485981313,0.196642868649
250.0,315.0,282.5,0.0941697584476,0.0958349315851,0.0975130716858,0.0992041206084,0.100908019935,0.102624710978,0.104354134791,0.106096232173,0.107850943683,0.109618209639,0.111397970133,0.113190165037,0.114994734011
315.0,400.0,357.5,0.0429580880814,0.043704592434,0.0444565722192,0.045213996939,0.0459768360312,0.046745058873,0.0475186347848,0.0482975330342,0.0490817228394,0.0498711733729,0.0506658537651,0.0514657331075,0.0522707804565
400.0,500.0,450.0,0.0172372221945,0.0175308833352,0.0178265507923,0.0181242108066,0.0184238496213,0.0187254534832,0.0190290086444,0.0193345013633,0.0196419179067,0.0199512445502,0.0202624675804,0.0205755732955,0.0208905480069
500.0,625.0,562.5,0.0065592476231,0.00666945286749,0.00678037016718,0.00689199386011,0.00700431829342,0.00711733782394,0.00723104681873,0.00734543965558,0.00746051072347,0.00757625442307,0.00769266516721,0.00780973738129,0.00792746550376
625.0,800.0,712.5,0.00214481966515,0.00218018824477,0.00221576856407,0.00225155862986,0.00228755645544,0.00232376006079,0.0023601674727,0.00239677672488,0.00243358585815,0.00247059292052,0.00250779596733,0.00254519306138,0.00258278227302
800.0,1050.0,925.0,0.00055737336426,0.000566412672814,0.000575502242063,0.000584641525084,0.000593829977512,0.000603067057561,0.000612352226064,0.000621684946493,0.00063106468499,0.00064049091039,0.000649963094249,0.000659480710865,0.000669043237301
1050.0,1400.0,1225.0,0.000113533362599,0.000115333841995,0.000117143371619,0.000118961835333,0.000120789117734,0.000122625104156,0.000124469680673,0.000126322734105,0.000128184152016,0.000130053822721,0.000131931635283,0.000133817479521,0.000135711246009
