'BINLOW','BINUP','BINCENTER','aS=0.111','aS=0.112','aS=0.113','aS=0.114','aS=0.115','aS=0.116','aS=0.117','aS=0.118','aS=0.119','aS=0.12','aS=0.121','aS=0.122','aS=0.123'
8,1,13,0.111,0.112,0.113,0.114,0.115,0.116,0.117,0.118,0.119,0.12,0.121,0.122,0.123
200.0,250.0,225.0,0.543701866538,0.549560893608,0.555431138899,0.561312464323,0.56720473244,0.57310780645,0.579021550191,0.584945828144,0.590880505421,0.596825447771,0.602780521574,0.608745593842,0.614720532214
250.0,315.0,282.5,0.257147873529,0.259971997686,0.2628018633,0.265637396711,0.26847852471,0.271325174542,0.274177273904,0.277034750938,0.279897534234,0.282765552825,0.285638736186,0.288517014231,0.291400317312
315.0,400.0,357.5,0.0963449493738,0.0974042634199,0.0984655533039,0.0995287886385,0.100593939272,0.101660975287,0.102729866997,0.103800584948,0.104873099914,0.105947382897,0.107023405127,0.108101138055,0.109180553359
400.0,500.0,450.0,0.0337799110452,0.0341485554305,0.034517778756,0.0348875696071,0.0352579166756,0.0356288087586,0.0360002347575,0.0363721836775,0.0367446446264,0.037117606814,0.0374910595508,0.0378649922479,0.0382393944154
500.0,625.0,562.5,0.0116754288619,0.0118018673393,0.0119284680163,0.0120552267451,0.0121821394224,0.0123092019892,0.0124364104303,0.0125637607737,0.0126912490905,0.0128188714942,0.0129466241404,0.0130745032263,0.0132025049904
625.0,800.0,712.5,0.00352356254053,0.00356116669072,0.0035988054654,0.00363647759722,0.00367418183449,0.00371191694096,0.00374968169565,0.00378747489268,0.00382529534112,0.0038631418648,0.00390101330213,0.00393890850599,0.0039768263435
800.0,1050.0,925.0,0.0008725862449,0.000881758427732,0.000890935601012,0.000900117450611,0.000909303666816,0.000918493944281,0.000927687981963,0.000936885483073,0.00094608615502,0.000955289709356,0.000964495861724,0.000973704331808,0.000982914843277
1050.0,1400.0,1225.0,0.00016719358769,0.000168919823059,0.000170646283946,0.000172372911377,0.000174099647326,0.000175826434698,0.000177553217322,0.000179279939931,0.000181006548152,0.000182732988493,0.000184459208332,0.000186185155902,0.000187910780278
